"AFML DATE","PAGE NO","REG NO",PILOT_ID,COPILOT_ID,EOB
`02/02/2019,100,PK-SNN,30,,0
`07/11/2019,2783,PK-SNR,78,74,0
`07/11/2019,2783,PK-SNR,78,74,0
`07/11/2019,2783,PK-SNR,78,74,0
`07/11/2019,2783,PK-SNR,78,74,0
`07/11/2019,2783,PK-SNR,78,74,0
`08/11/2019,2784,PK-SNR,77,74,0
`09/11/2019,2785,PK-SNR,77,74,0
`11/11/2019,2786,PK-SNR,77,74,0
`14/11/2019,2788,PK-SNR,77,74,0
`14/11/2019,2788,PK-SNR,77,74,0
`16/11/2019,2790,PK-SNR,77,74,0
`15/11/2019,2789,PK-SNR,77,74,0
`18/11/2019,2791,PK-SNR,77,74,0
`18/11/2019,2791,PK-SNR,77,74,0
`19/11/2019,2792,PK-SNR,77,74,0
`20/11/2019,2793,PK-SNR,77,74,0
`21/11/2019,2794,PK-SNR,77,74,0
`22/11/2019,2795,PK-SNR,77,74,0
`23/11/2919,2796,PK-SNR,77,74,0
`25/11/2019,2797,PK-SNR,77,74,0
`27/11/2019,2798,PK-SNR,77,74,0
`28/11/2019,2799,PK-SNR,77,74,0
`28/11/2019,2799,PK-SNR,77,74,0
`28/11/2019,2799,PK-SNR,77,74,0
`29/11/2019,2800,PK-SNR,77,74,0
`30/11/2019,2801,PK-SNR,77,74,0
`03/12/2019,001658,PK-SNN,59,,0
