"AFML DATE","PAGE NO","REG NO",PILOT_ID,COPILOT_ID,EOB
`14/12/2019,001266,PK-SNS,51,,68
`14/12/2019,001668,PK-SNN,85,53,0
`13/12/2019,2718,PK-SNP,30,55,0
